    E(eV)    dE(eV)  Phi(deg)    dPhi      Theta    dTheta   Log10(FDV)
				(deg)      (deg)    (deg)     FDV in s^3/km^3/cm^3
  24.5942    7.5905  136.8750   22.5000  -33.7500   22.5000  -10.4797
  24.5942    7.5905  159.3750   22.5000  -33.7500   22.5000  -10.4055
  24.5942    7.5905  103.1250   45.0000  -56.2500   22.5000  -10.6827
  24.5942    7.5905  148.1250   45.0000  -56.2500   22.5000  -10.5430
  24.5942    7.5905  125.6250   90.0000  -78.7500   22.5000  -10.7378
  24.5942    7.5905  114.3750   22.5000   11.2500   22.5000  -10.5689
  24.5942    7.5905   91.8750   22.5000   11.2500   22.5000  -10.7014
  24.5942    7.5905  114.3750   22.5000   33.7500   22.5000  -10.5897
  24.5942    7.5905   91.8750   22.5000   33.7500   22.5000  -10.7325
  24.5942    7.5905  136.8750   22.5000   11.2500   22.5000  -10.4642
  24.5942    7.5905  159.3750   22.5000   11.2500   22.5000  -10.3916
  24.5942    7.5905  136.8750   22.5000   33.7500   22.5000  -10.5015
  24.5942    7.5905  159.3750   22.5000   33.7500   22.5000  -10.4236
  24.5942    7.5905  103.1250   45.0000   56.2500   22.5000  -10.6908
  24.5942    7.5905  148.1250   45.0000   56.2500   22.5000  -10.5322
  24.5942    7.5905  125.6250   90.0000   78.7500   22.5000  -10.7211
  24.5942    7.5905  226.8750   22.5000  -11.2500   22.5000  -10.5002
  24.5942    7.5905  249.3750   22.5000  -11.2500   22.5000  -10.6364
  24.5942    7.5905  226.8750   22.5000  -33.7500   22.5000  -10.5142
  24.5942    7.5905  249.3750   22.5000  -33.7500   22.5000  -10.6405
  24.5942    7.5905  204.3750   22.5000  -11.2500   22.5000  -10.3891
  24.5942    7.5905  181.8750   22.5000  -11.2500   22.5000  -10.3383
  24.5942    7.5905  204.3750   22.5000  -33.7500   22.5000  -10.4362
  24.5942    7.5905  181.8750   22.5000  -33.7500   22.5000  -10.3868
  24.5942    7.5905  238.1250   45.0000  -56.2500   22.5000  -10.6188
  24.5942    7.5905  193.1250   45.0000  -56.2500   22.5000  -10.5184
  24.5942    7.5905  215.6250   90.0000  -78.7500   22.5000  -10.7031
  24.5942    7.5905  226.8750   22.5000   11.2500   22.5000  -10.5064
  24.5942    7.5905  249.3750   22.5000   11.2500   22.5000  -10.6413
  24.5942    7.5905  226.8750   22.5000   33.7500   22.5000  -10.5199
  24.5942    7.5905  249.3750   22.5000   33.7500   22.5000  -10.6440
  24.5942    7.5905  204.3750   22.5000   11.2500   22.5000  -10.3951
  24.5942    7.5905  181.8750   22.5000   11.2500   22.5000  -10.3567
  24.5942    7.5905  204.3750   22.5000   33.7500   22.5000  -10.4278
  24.5942    7.5905  181.8750   22.5000   33.7500   22.5000  -10.3913
  24.5942    7.5905  238.1250   45.0000   56.2500   22.5000  -10.6186
  24.5942    7.5905  193.1250   45.0000   56.2500   22.5000  -10.4985
  24.5942    7.5905  215.6250   90.0000   78.7500   22.5000  -10.6824
